name,categories,github_links_list
cUSDC,"['Finance / Banking', 'Decentralized Finance (DeFi)', 'Compound Tokens', 'Asset-backed Tokens']",https://github.com/compound-finance/compound-protocol
Aave,"['Avalanche Ecosystem', 'Polygon Ecosystem', 'Near Protocol Ecosystem', 'Lending/Borrowing', 'Governance', 'Yield Farming', 'Decentralized Finance (DeFi)']",https://github.com/aave/aave-protocol
EOS,['Smart Contract Platform'],https://github.com/EOSIO/eos
EOS,['Smart Contract Platform'],https://github.com/EOSIO/eosjs
EOS,['Smart Contract Platform'],https://github.com/EOSIO/eosio.cdt
PancakeSwap,"['Governance', 'Automated Market Maker (AMM)', 'Yield Farming', 'Decentralized Finance (DeFi)', 'Decentralized Exchange Token (DEX)', 'Exchange-based Tokens', 'Binance Smart Chain Ecosystem']",https://github.com/pancakeswap
Flow,"['Non-Fungible Tokens (NFT)', 'Sports']",https://github.com/onflow
Gala,"['Polygon Ecosystem', 'Play To Earn', 'Non-Fungible Tokens (NFT)', 'Gaming']",
Arweave,['Storage'],https://github.com/ArweaveTeam/arweave
Quant,['Protocol'],https://github.com/quantnetwork/Overledger-Interfaces
Quant,['Protocol'],https://github.com/quantnetwork/eth-contract-metadata
BitTorrent,"['Protocol', 'Binance Smart Chain Ecosystem', 'Storage']",https://github.com/bittorrent/bittorrent.org
Stacks,"['Infrastructure', 'Smart Contract Platform']",https://github.com/blockstack/blockstack
Stacks,"['Infrastructure', 'Smart Contract Platform']",https://github.com/blockstack/stacks-wallet-web
Stacks,"['Infrastructure', 'Smart Contract Platform']",https://github.com/blockstack/explorer
Stacks,"['Infrastructure', 'Smart Contract Platform']",https://github.com/blockstack/stacks-wallet
Stacks,"['Infrastructure', 'Smart Contract Platform']",https://github.com/blockstack/stacks.js
Stacks,"['Infrastructure', 'Smart Contract Platform']",https://github.com/blockstack/stacks-blockchain
Enjin Coin,"['Metaverse', 'Entertainment', 'Non-Fungible Tokens (NFT)', 'Gaming']",https://github.com/enjin/erc-1155
Kusama,['Polkadot Ecosystem'],https://github.com/kusamanetwork/kusama.network
Osmosis,"['Cosmos Ecosystem', 'Decentralized Exchange Token (DEX)', 'Decentralized Finance (DeFi)']",https://github.com/osmosis-labs/osmosis
Amp,"['Decentralized Finance (DeFi)', 'Governance']",https://github.com/amptoken
Olympus,"['Rebase Tokens', 'Decentralized Finance (DeFi)', 'Asset-backed Tokens']",https://github.com/OlympusDAO
Radix,['Smart Contract Platform'],https://github.com/radixdlt
Bitcoin SV,[],https://github.com/bitcoin-sv/bitcoin-sv
Loopring,"['Decentralized Exchange Token (DEX)', 'Decentralized Finance (DeFi)', 'Exchange-based Tokens']",https://github.com/Loopring/protocols
Loopring,"['Decentralized Exchange Token (DEX)', 'Decentralized Finance (DeFi)', 'Exchange-based Tokens']",https://github.com/Loopring/lightcone
Loopring,"['Decentralized Exchange Token (DEX)', 'Decentralized Finance (DeFi)', 'Exchange-based Tokens']",https://github.com/Loopring/loopr
Loopring,"['Decentralized Exchange Token (DEX)', 'Decentralized Finance (DeFi)', 'Exchange-based Tokens']",https://github.com/Loopring/protocol2
Loopring,"['Decentralized Exchange Token (DEX)', 'Decentralized Finance (DeFi)', 'Exchange-based Tokens']",https://github.com/Loopring/relay
THORChain,"['Cosmos Ecosystem', 'Decentralized Exchange Token (DEX)', 'Infrastructure', 'Decentralized Finance (DeFi)', 'Exchange-based Tokens']",https://github.com/thorchain/THORChain
THORChain,"['Cosmos Ecosystem', 'Decentralized Exchange Token (DEX)', 'Infrastructure', 'Decentralized Finance (DeFi)', 'Exchange-based Tokens']",https://github.com/thorchain/instaswap-sdk
Frax,"['Binance Smart Chain Ecosystem', None, 'USD Stablecoin', 'Polygon Ecosystem', 'Avalanche Ecosystem', 'Decentralized Finance (DeFi)', 'Stablecoins', 'Seigniorage']",https://github.com/fraxfinance/frax-solidity
Maker,"['Lending/Borrowing', 'Avalanche Ecosystem', 'Near Protocol Ecosystem', 'Decentralized Finance (DeFi)', 'Governance']",https://github.com/makerdao/dai.js
eCash,[],https://github.com/bitcoin-abc
Curve DAO Token,"['Arbitrum Ecosystem', 'xDAI Ecosystem', 'Polygon Ecosystem', 'Exchange-based Tokens', 'Decentralized Exchange Token (DEX)', 'Automated Market Maker (AMM)', 'Yield Farming', 'Governance', 'Decentralized Finance (DeFi)']",https://github.com/curvefi/curve-contract
